gs1dm	K	P
item00000060	box00000002	pallete00000001
item00000061	box00000002	pallete00000001
item00000062	box00000002	pallete00000001
item00000063	box00000002	pallete00000001
item00000064	box00000002	pallete00000001
item00000065	box00000002	pallete00000001
item00000066	box00000002	pallete00000001
item00000067	box00000002	pallete00000001
item00000068	box00000002	pallete00000001
item00000069	box00000002	pallete00000001
item00000070	box00000002	pallete00000001
item00000071	box00000002	pallete00000001
item00000072	box00000002	pallete00000001
item00000073	box00000002	pallete00000001
item00000074	box00000002	pallete00000001
item00000075	box00000002	pallete00000001
item00000076	box00000002	pallete00000001
item00000077	box00000002	pallete00000001
item00000078	box00000002	pallete00000001
item00000079	box00000002	pallete00000001
item00000080	box00000002	pallete00000001
item00000081	box00000003	pallete00000001
item00000082	box00000003	pallete00000001
item00000083	box00000003	pallete00000001
item00000084	box00000003	pallete00000001
item00000085	box00000003	pallete00000001
item00000086	box00000003	pallete00000001
item00000087	box00000003	pallete00000001
item00000088	box00000003	pallete00000001
item00000089	box00000003	pallete00000001
item00000090	box00000003	pallete00000001
item00000091	box00000003	pallete00000001
item00000092	box00000003	pallete00000001
item00000093	box00000003	pallete00000001
item00000094	box00000003	pallete00000001
item00000095	box00000003	pallete00000001
item00000096	box00000003	pallete00000001
item00000097	box00000003	pallete00000001
item00000098	box00000003	pallete00000001
item00000099	box00000003	pallete00000001
item00000100	box00000003	pallete00000001
item00000101	box00000003	pallete00000001
item00000102	box00000003	pallete00000001
item00000103	box00000003	pallete00000001
item00000104	box00000003	pallete00000001
item00000105	box00000003	pallete00000001
item00000106	box00000003	pallete00000001
item00000107	box00000003	pallete00000001
item00000108	box00000003	pallete00000001
item00000109	box00000003	pallete00000001
item00000110	box00000003	pallete00000001
item00000111	box00000003	pallete00000001
item00000112	box00000003	pallete00000001
item00000113	box00000003	pallete00000001
item00000114	box00000003	pallete00000001
item00000115	box00000003	pallete00000001
item00000116	box00000003	pallete00000001
item00000117	box00000003	pallete00000001
item00000118	box00000003	pallete00000001
item00000119	box00000003	pallete00000001
item00000120	box00000003	pallete00000001
item00000121	box00000004	pallete00000001
item00000122	box00000004	pallete00000001
item00000123	box00000004	pallete00000001
item00000124	box00000004	pallete00000001
item00000125	box00000004	pallete00000001
item00000126	box00000004	pallete00000001
item00000127	box00000004	pallete00000001
item00000128	box00000004	pallete00000001
item00000129	box00000004	pallete00000001
item00000130	box00000004	pallete00000001
item00000131	box00000004	pallete00000001
item00000132	box00000004	pallete00000001
item00000133	box00000004	pallete00000001
item00000134	box00000004	pallete00000001
item00000135	box00000004	pallete00000001
item00000136	box00000004	pallete00000001
item00000137	box00000004	pallete00000001
item00000138	box00000004	pallete00000001
item00000139	box00000004	pallete00000001
item00000140	box00000004	pallete00000001
item00000141	box00000004	pallete00000001
item00000142	box00000004	pallete00000001
item00000143	box00000004	pallete00000001
item00000144	box00000004	pallete00000001
item00000145	box00000004	pallete00000001
item00000146	box00000004	pallete00000001
item00000147	box00000004	pallete00000001
item00000148	box00000004	pallete00000001
item00000149	box00000004	pallete00000001
item00000150	box00000004	pallete00000001
item00000151	box00000004	pallete00000001
item00000152	box00000004	pallete00000001
item00000153	box00000004	pallete00000001
item00000154	box00000004	pallete00000001
item00000155	box00000004	pallete00000001
item00000156	box00000004	pallete00000001
item00000157	box00000004	pallete00000001
item00000158	box00000004	pallete00000001
item00000159	box00000004	pallete00000001
item00000160	box00000004	pallete00000001
item00000161	box00000005	pallete00000001
item00000162	box00000005	pallete00000001
item00000163	box00000005	pallete00000001
item00000164	box00000005	pallete00000001
item00000165	box00000005	pallete00000001
item00000166	box00000005	pallete00000001
item00000167	box00000005	pallete00000001
item00000168	box00000005	pallete00000001
item00000169	box00000005	pallete00000001
item00000170	box00000005	pallete00000001
item00000171	box00000005	pallete00000001
item00000172	box00000005	pallete00000001
item00000173	box00000005	pallete00000001
item00000174	box00000005	pallete00000001
item00000175	box00000005	pallete00000001
item00000176	box00000005	pallete00000001
item00000177	box00000005	pallete00000001
item00000178	box00000005	pallete00000001
item00000179	box00000005	pallete00000001
item00000180	box00000005	pallete00000001
item00000181	box00000005	pallete00000001
item00000182	box00000005	pallete00000001
item00000183	box00000005	pallete00000001
item00000184	box00000005	pallete00000001
item00000185	box00000005	pallete00000001
item00000186	box00000005	pallete00000001
item00000187	box00000005	pallete00000001
item00000188	box00000005	pallete00000001
item00000189	box00000005	pallete00000001
item00000190	box00000005	pallete00000001
item00000191	box00000005	pallete00000001
item00000192	box00000005	pallete00000001
item00000193	box00000005	pallete00000001
item00000194	box00000005	pallete00000001
item00000195	box00000005	pallete00000001
item00000196	box00000005	pallete00000001
item00000197	box00000005	pallete00000001
item00000198	box00000005	pallete00000001
item00000199	box00000005	pallete00000001
item00000200	box00000005	pallete00000001
item00000201	box00000006	pallete00000001
item00000202	box00000006	pallete00000001
item00000203	box00000006	pallete00000001
item00000204	box00000006	pallete00000001
item00000205	box00000006	pallete00000001
item00000206	box00000006	pallete00000001
item00000207	box00000006	pallete00000001
item00000208	box00000006	pallete00000001
item00000209	box00000006	pallete00000001
item00000210	box00000006	pallete00000001
item00000211	box00000006	pallete00000001
item00000212	box00000006	pallete00000001
item00000213	box00000006	pallete00000001
item00000214	box00000006	pallete00000001
item00000215	box00000006	pallete00000001
item00000216	box00000006	pallete00000001
item00000217	box00000006	pallete00000001
item00000218	box00000006	pallete00000001
item00000219	box00000006	pallete00000001
item00000220	box00000006	pallete00000001
item00000221	box00000006	pallete00000001
item00000222	box00000006	pallete00000001
item00000223	box00000006	pallete00000001
item00000224	box00000006	pallete00000001
item00000225	box00000006	pallete00000001
item00000226	box00000006	pallete00000001
item00000227	box00000006	pallete00000001
item00000228	box00000006	pallete00000001
item00000229	box00000006	pallete00000001
item00000230	box00000006	pallete00000001
item00000231	box00000006	pallete00000001
item00000232	box00000006	pallete00000001
item00000233	box00000006	pallete00000001
item00000234	box00000006	pallete00000001
item00000235	box00000006	pallete00000001
item00000236	box00000006	pallete00000001
item00000237	box00000006	pallete00000001
item00000238	box00000006	pallete00000001
item00000239	box00000006	pallete00000001
item00000240	box00000006	pallete00000001
item00000241	box00000007	pallete00000001
item00000242	box00000007	pallete00000001
item00000243	box00000007	pallete00000001
item00000244	box00000007	pallete00000001
item00000245	box00000007	pallete00000001
item00000246	box00000007	pallete00000001
item00000247	box00000007	pallete00000001
item00000248	box00000007	pallete00000001
item00000249	box00000007	pallete00000001
item00000250	box00000007	pallete00000001
item00000251	box00000007	pallete00000001
item00000252	box00000007	pallete00000001
item00000253	box00000007	pallete00000001
item00000254	box00000007	pallete00000001
item00000255	box00000007	pallete00000001
item00000256	box00000007	pallete00000001
item00000257	box00000007	pallete00000001
item00000258	box00000007	pallete00000001
item00000259	box00000007	pallete00000001
item00000260	box00000007	pallete00000001
item00000261	box00000007	pallete00000001
item00000262	box00000007	pallete00000001
item00000263	box00000007	pallete00000001
item00000264	box00000007	pallete00000001
item00000265	box00000007	pallete00000001
item00000266	box00000007	pallete00000001
item00000267	box00000007	pallete00000001
item00000268	box00000007	pallete00000001
item00000269	box00000007	pallete00000001
item00000270	box00000007	pallete00000001
item00000271	box00000007	pallete00000001
item00000272	box00000007	pallete00000001
item00000273	box00000007	pallete00000001
item00000274	box00000007	pallete00000001
item00000275	box00000007	pallete00000001
item00000276	box00000007	pallete00000001
item00000277	box00000007	pallete00000001
item00000278	box00000007	pallete00000001
item00000279	box00000007	pallete00000001
item00000280	box00000007	pallete00000001
item00000281	box00000008	pallete00000001
item00000282	box00000008	pallete00000001
item00000283	box00000008	pallete00000001
item00000284	box00000008	pallete00000001
item00000285	box00000008	pallete00000001
item00000286	box00000008	pallete00000001
item00000287	box00000008	pallete00000001
item00000288	box00000008	pallete00000001
item00000289	box00000008	pallete00000001
item00000290	box00000008	pallete00000001
item00000291	box00000008	pallete00000001
item00000292	box00000008	pallete00000001
item00000293	box00000008	pallete00000001
item00000294	box00000008	pallete00000001
item00000295	box00000008	pallete00000001
item00000296	box00000008	pallete00000001
item00000297	box00000008	pallete00000001
item00000298	box00000008	pallete00000001
item00000299	box00000008	pallete00000001
item00000300	box00000008	pallete00000001
item00000301	box00000008	pallete00000001
item00000302	box00000008	pallete00000001
item00000303	box00000008	pallete00000001
item00000304	box00000008	pallete00000001
item00000305	box00000008	pallete00000001
item00000306	box00000008	pallete00000001
item00000307	box00000008	pallete00000001
item00000308	box00000008	pallete00000001
item00000309	box00000008	pallete00000001
item00000310	box00000008	pallete00000001
item00000311	box00000008	pallete00000001
item00000312	box00000008	pallete00000001
item00000313	box00000008	pallete00000001
item00000314	box00000008	pallete00000001
item00000315	box00000008	pallete00000001
item00000316	box00000008	pallete00000001
item00000317	box00000008	pallete00000001
item00000318	box00000008	pallete00000001
item00000319	box00000008	pallete00000001
item00000320	box00000008	pallete00000001
item00000321	box00000009	pallete00000001
item00000322	box00000009	pallete00000001
item00000323	box00000009	pallete00000001
item00000324	box00000009	pallete00000001
item00000325	box00000009	pallete00000001
item00000326	box00000009	pallete00000001
item00000327	box00000009	pallete00000001
item00000328	box00000009	pallete00000001
item00000329	box00000009	pallete00000001
item00000330	box00000009	pallete00000001
item00000331	box00000009	pallete00000001
item00000332	box00000009	pallete00000001
item00000333	box00000009	pallete00000001
item00000334	box00000009	pallete00000001
item00000335	box00000009	pallete00000001
item00000336	box00000009	pallete00000001
item00000337	box00000009	pallete00000001
item00000338	box00000009	pallete00000001
item00000339	box00000009	pallete00000001
item00000340	box00000009	pallete00000001
item00000341	box00000009	pallete00000001
item00000342	box00000009	pallete00000001
item00000343	box00000009	pallete00000001
item00000344	box00000009	pallete00000001
item00000345	box00000009	pallete00000001
item00000346	box00000009	pallete00000001
item00000347	box00000009	pallete00000001
item00000348	box00000009	pallete00000001
item00000349	box00000009	pallete00000001
item00000350	box00000009	pallete00000001
item00000351	box00000009	pallete00000001
item00000352	box00000009	pallete00000001
item00000353	box00000009	pallete00000001
item00000354	box00000009	pallete00000001
item00000355	box00000009	pallete00000001
item00000356	box00000009	pallete00000001
item00000357	box00000009	pallete00000001
item00000358	box00000009	pallete00000001
item00000359	box00000009	pallete00000001
item00000360	box00000009	pallete00000001
item00000361	box00000010	pallete00000001
item00000362	box00000010	pallete00000001
item00000363	box00000010	pallete00000001
item00000364	box00000010	pallete00000001
item00000365	box00000010	pallete00000001
item00000366	box00000010	pallete00000001
item00000367	box00000010	pallete00000001
item00000368	box00000010	pallete00000001
item00000369	box00000010	pallete00000001
item00000370	box00000010	pallete00000001
item00000371	box00000010	pallete00000001
item00000372	box00000010	pallete00000001
item00000373	box00000010	pallete00000001
item00000374	box00000010	pallete00000001
item00000375	box00000010	pallete00000001
item00000376	box00000010	pallete00000001
item00000377	box00000010	pallete00000001
item00000378	box00000010	pallete00000001
item00000379	box00000010	pallete00000001
item00000380	box00000010	pallete00000001
item00000381	box00000010	pallete00000001
item00000382	box00000010	pallete00000001
item00000383	box00000010	pallete00000001
item00000384	box00000010	pallete00000001
item00000385	box00000010	pallete00000001
item00000386	box00000010	pallete00000001
item00000387	box00000010	pallete00000001
item00000388	box00000010	pallete00000001
item00000389	box00000010	pallete00000001
item00000390	box00000010	pallete00000001
item00000391	box00000010	pallete00000001
item00000392	box00000010	pallete00000001
item00000393	box00000010	pallete00000001
item00000394	box00000010	pallete00000001
item00000395	box00000010	pallete00000001
item00000396	box00000010	pallete00000001
item00000397	box00000010	pallete00000001
item00000398	box00000010	pallete00000001
item00000399	box00000010	pallete00000001
item00000400	box00000010	pallete00000001
item00000401	box00000011	pallete00000001
item00000402	box00000011	pallete00000001
item00000403	box00000011	pallete00000001
item00000404	box00000011	pallete00000001
item00000405	box00000011	pallete00000001
item00000406	box00000011	pallete00000001
item00000407	box00000011	pallete00000001
item00000408	box00000011	pallete00000001
item00000409	box00000011	pallete00000001
item00000410	box00000011	pallete00000001
item00000411	box00000011	pallete00000001
item00000412	box00000011	pallete00000001
item00000413	box00000011	pallete00000001
item00000414	box00000011	pallete00000001
item00000415	box00000011	pallete00000001
item00000416	box00000011	pallete00000001
item00000417	box00000011	pallete00000001
item00000418	box00000011	pallete00000001
item00000419	box00000011	pallete00000001
item00000420	box00000011	pallete00000001
item00000421	box00000011	pallete00000001
item00000422	box00000011	pallete00000001
item00000423	box00000011	pallete00000001
item00000424	box00000011	pallete00000001
item00000425	box00000011	pallete00000001
item00000426	box00000011	pallete00000001
item00000427	box00000011	pallete00000001
item00000428	box00000011	pallete00000001
item00000429	box00000011	pallete00000001
item00000430	box00000011	pallete00000001
item00000431	box00000011	pallete00000001
item00000432	box00000011	pallete00000001
item00000433	box00000011	pallete00000001
item00000434	box00000011	pallete00000001
item00000435	box00000011	pallete00000001
item00000436	box00000011	pallete00000001
item00000437	box00000011	pallete00000001
item00000438	box00000011	pallete00000001
item00000439	box00000011	pallete00000001
item00000440	box00000011	pallete00000001
item00000441	box00000012	pallete00000001
item00000442	box00000012	pallete00000001
item00000443	box00000012	pallete00000001
item00000444	box00000012	pallete00000001
item00000445	box00000012	pallete00000001
item00000446	box00000012	pallete00000001
item00000447	box00000012	pallete00000001
item00000448	box00000012	pallete00000001
item00000449	box00000012	pallete00000001
item00000450	box00000012	pallete00000001
item00000451	box00000012	pallete00000001
item00000452	box00000012	pallete00000001
item00000453	box00000012	pallete00000001
item00000454	box00000012	pallete00000001
item00000455	box00000012	pallete00000001
item00000456	box00000012	pallete00000001
item00000457	box00000012	pallete00000001
item00000458	box00000012	pallete00000001
item00000459	box00000012	pallete00000001
item00000460	box00000012	pallete00000001
item00000461	box00000012	pallete00000001
item00000462	box00000012	pallete00000001
item00000463	box00000012	pallete00000001
item00000464	box00000012	pallete00000001
item00000465	box00000012	pallete00000001
item00000466	box00000012	pallete00000001
item00000467	box00000012	pallete00000001
item00000468	box00000012	pallete00000001
item00000469	box00000012	pallete00000001
item00000470	box00000012	pallete00000001
item00000471	box00000012	pallete00000001
item00000472	box00000012	pallete00000001
item00000473	box00000012	pallete00000001
item00000474	box00000012	pallete00000001
item00000475	box00000012	pallete00000001
item00000476	box00000012	pallete00000001
item00000477	box00000012	pallete00000001
item00000478	box00000012	pallete00000001
item00000479	box00000012	pallete00000001
item00000480	box00000012	pallete00000001
item00000481	box00000013	pallete00000001
item00000482	box00000013	pallete00000001
item00000483	box00000013	pallete00000001
item00000484	box00000013	pallete00000001
item00000485	box00000013	pallete00000001
item00000486	box00000013	pallete00000001
item00000487	box00000013	pallete00000001
item00000488	box00000013	pallete00000001
item00000489	box00000013	pallete00000001
item00000490	box00000013	pallete00000001
item00000491	box00000013	pallete00000001
item00000492	box00000013	pallete00000001
item00000493	box00000013	pallete00000001
item00000494	box00000013	pallete00000001
item00000495	box00000013	pallete00000001
item00000496	box00000013	pallete00000001
item00000497	box00000013	pallete00000001
item00000498	box00000013	pallete00000001
item00000499	box00000013	pallete00000001
item00000500	box00000013	pallete00000001
item00000501	box00000013	pallete00000001
item00000502	box00000013	pallete00000001
item00000503	box00000013	pallete00000001
item00000504	box00000013	pallete00000001
item00000505	box00000013	pallete00000001
item00000506	box00000013	pallete00000001
item00000507	box00000013	pallete00000001
item00000508	box00000013	pallete00000001
item00000509	box00000013	pallete00000001
item00000510	box00000013	pallete00000001
item00000511	box00000013	pallete00000001
item00000512	box00000013	pallete00000001
item00000513	box00000013	pallete00000001
item00000514	box00000013	pallete00000001
item00000515	box00000013	pallete00000001
item00000516	box00000013	pallete00000001
item00000517	box00000013	pallete00000001
item00000518	box00000013	pallete00000001
item00000519	box00000013	pallete00000001
item00000520	box00000013	pallete00000001
item00000521	box00000014	pallete00000001
item00000522	box00000014	pallete00000001
item00000523	box00000014	pallete00000001
item00000524	box00000014	pallete00000001
item00000525	box00000014	pallete00000001
item00000526	box00000014	pallete00000001
item00000527	box00000014	pallete00000001
item00000528	box00000014	pallete00000001
item00000529	box00000014	pallete00000001
item00000530	box00000014	pallete00000001
item00000531	box00000014	pallete00000001
item00000532	box00000014	pallete00000001
item00000533	box00000014	pallete00000001
item00000534	box00000014	pallete00000001
item00000535	box00000014	pallete00000001
item00000536	box00000014	pallete00000001
item00000537	box00000014	pallete00000001
item00000538	box00000014	pallete00000001
item00000539	box00000014	pallete00000001
item00000540	box00000014	pallete00000001
item00000541	box00000014	pallete00000001
item00000542	box00000014	pallete00000001
item00000543	box00000014	pallete00000001
item00000544	box00000014	pallete00000001
item00000545	box00000014	pallete00000001
item00000546	box00000014	pallete00000001
item00000547	box00000014	pallete00000001
item00000548	box00000014	pallete00000001
item00000549	box00000014	pallete00000001
item00000550	box00000014	pallete00000001
item00000551	box00000014	pallete00000001
item00000552	box00000014	pallete00000001
item00000553	box00000014	pallete00000001
item00000554	box00000014	pallete00000001
item00000555	box00000014	pallete00000001
item00000556	box00000014	pallete00000001
item00000557	box00000014	pallete00000001
item00000558	box00000014	pallete00000001
item00000559	box00000014	pallete00000001
item00000560	box00000014	pallete00000001
item00000561	box00000015	pallete00000001
item00000562	box00000015	pallete00000001
item00000563	box00000015	pallete00000001
item00000564	box00000015	pallete00000001
item00000565	box00000015	pallete00000001
item00000566	box00000015	pallete00000001
item00000567	box00000015	pallete00000001
item00000568	box00000015	pallete00000001
item00000569	box00000015	pallete00000001
item00000570	box00000015	pallete00000001
item00000571	box00000015	pallete00000001
item00000572	box00000015	pallete00000001
item00000573	box00000015	pallete00000001
item00000574	box00000015	pallete00000001
item00000575	box00000015	pallete00000001
item00000576	box00000015	pallete00000001
item00000577	box00000015	pallete00000001
item00000578	box00000015	pallete00000001
item00000579	box00000015	pallete00000001
item00000580	box00000015	pallete00000001
item00000581	box00000015	pallete00000001
item00000582	box00000015	pallete00000001
item00000583	box00000015	pallete00000001
item00000584	box00000015	pallete00000001
item00000585	box00000015	pallete00000001
item00000586	box00000015	pallete00000001
item00000587	box00000015	pallete00000001
item00000588	box00000015	pallete00000001
item00000589	box00000015	pallete00000001
item00000590	box00000015	pallete00000001
item00000591	box00000015	pallete00000001
item00000592	box00000015	pallete00000001
item00000593	box00000015	pallete00000001
item00000594	box00000015	pallete00000001
item00000595	box00000015	pallete00000001
item00000596	box00000015	pallete00000001
item00000597	box00000015	pallete00000001
item00000598	box00000015	pallete00000001
item00000599	box00000015	pallete00000001
item00000600	box00000015	pallete00000001
item00000601	box00000016	pallete00000001
item00000602	box00000016	pallete00000001
item00000603	box00000016	pallete00000001
item00000604	box00000016	pallete00000001
item00000605	box00000016	pallete00000001
item00000606	box00000016	pallete00000001
item00000607	box00000016	pallete00000001
item00000608	box00000016	pallete00000001
item00000609	box00000016	pallete00000001
item00000610	box00000016	pallete00000001
item00000611	box00000016	pallete00000001
item00000612	box00000016	pallete00000001
item00000613	box00000016	pallete00000001
item00000614	box00000016	pallete00000001
item00000615	box00000016	pallete00000001
item00000616	box00000016	pallete00000001
item00000617	box00000016	pallete00000001
item00000618	box00000016	pallete00000001
item00000619	box00000016	pallete00000001
item00000620	box00000016	pallete00000001
item00000621	box00000016	pallete00000001
item00000622	box00000016	pallete00000001
item00000623	box00000016	pallete00000001
item00000624	box00000016	pallete00000001
item00000625	box00000016	pallete00000001
item00000626	box00000016	pallete00000001
item00000627	box00000016	pallete00000001
item00000628	box00000016	pallete00000001
item00000629	box00000016	pallete00000001
item00000630	box00000016	pallete00000001
item00000631	box00000016	pallete00000001
item00000632	box00000016	pallete00000001
item00000633	box00000016	pallete00000001
item00000634	box00000016	pallete00000001
item00000635	box00000016	pallete00000001
item00000636	box00000016	pallete00000001
item00000637	box00000016	pallete00000001
item00000638	box00000016	pallete00000001
item00000639	box00000016	pallete00000001
item00000640	box00000016	pallete00000001
item00000641	box00000017	pallete00000001
item00000642	box00000017	pallete00000001
item00000643	box00000017	pallete00000001
item00000644	box00000017	pallete00000001
item00000645	box00000017	pallete00000001
item00000646	box00000017	pallete00000001
item00000647	box00000017	pallete00000001
item00000648	box00000017	pallete00000001
item00000649	box00000017	pallete00000001
item00000650	box00000017	pallete00000001
item00000651	box00000017	pallete00000001
item00000652	box00000017	pallete00000001
item00000653	box00000017	pallete00000001
item00000654	box00000017	pallete00000001
item00000655	box00000017	pallete00000001
item00000656	box00000017	pallete00000001
item00000657	box00000017	pallete00000001
item00000658	box00000017	pallete00000001
item00000659	box00000017	pallete00000001
item00000660	box00000017	pallete00000001
item00000661	box00000017	pallete00000001
item00000662	box00000017	pallete00000001
item00000663	box00000017	pallete00000001
item00000664	box00000017	pallete00000001
item00000665	box00000017	pallete00000001
item00000666	box00000017	pallete00000001
item00000667	box00000017	pallete00000001
item00000668	box00000017	pallete00000001
item00000669	box00000017	pallete00000001
item00000670	box00000017	pallete00000001
item00000671	box00000017	pallete00000001
item00000672	box00000017	pallete00000001
item00000673	box00000017	pallete00000001
item00000674	box00000017	pallete00000001
item00000675	box00000017	pallete00000001
item00000676	box00000017	pallete00000001
item00000677	box00000017	pallete00000001
item00000678	box00000017	pallete00000001
item00000679	box00000017	pallete00000001
item00000680	box00000017	pallete00000001
item00000681	box00000018	pallete00000001
item00000682	box00000018	pallete00000001
item00000683	box00000018	pallete00000001
item00000684	box00000018	pallete00000001
item00000685	box00000018	pallete00000001
item00000686	box00000018	pallete00000001
item00000687	box00000018	pallete00000001
item00000688	box00000018	pallete00000001
item00000689	box00000018	pallete00000001
item00000690	box00000018	pallete00000001
item00000691	box00000018	pallete00000001
item00000692	box00000018	pallete00000001
item00000693	box00000018	pallete00000001
item00000694	box00000018	pallete00000001
item00000695	box00000018	pallete00000001
item00000696	box00000018	pallete00000001
item00000697	box00000018	pallete00000001
item00000698	box00000018	pallete00000001
item00000699	box00000018	pallete00000001
item00000700	box00000018	pallete00000001
item00000701	box00000018	pallete00000001
item00000702	box00000018	pallete00000001
item00000703	box00000018	pallete00000001
item00000704	box00000018	pallete00000001
item00000705	box00000018	pallete00000001
item00000706	box00000018	pallete00000001
item00000707	box00000018	pallete00000001
item00000708	box00000018	pallete00000001
item00000709	box00000018	pallete00000001
item00000710	box00000018	pallete00000001
item00000711	box00000018	pallete00000001
item00000712	box00000018	pallete00000001
item00000713	box00000018	pallete00000001
item00000714	box00000018	pallete00000001
item00000715	box00000018	pallete00000001
item00000716	box00000018	pallete00000001
item00000717	box00000018	pallete00000001
item00000718	box00000018	pallete00000001
item00000719	box00000018	pallete00000001
item00000720	box00000018	pallete00000001
item00000721	box00000019	pallete00000001
item00000722	box00000019	pallete00000001
item00000723	box00000019	pallete00000001
item00000724	box00000019	pallete00000001
item00000725	box00000019	pallete00000001
item00000726	box00000019	pallete00000001
item00000727	box00000019	pallete00000001
item00000728	box00000019	pallete00000001
item00000729	box00000019	pallete00000001
item00000730	box00000019	pallete00000001
item00000731	box00000019	pallete00000001
item00000732	box00000019	pallete00000001
item00000733	box00000019	pallete00000001
item00000734	box00000019	pallete00000001
item00000735	box00000019	pallete00000001
item00000736	box00000019	pallete00000001
item00000737	box00000019	pallete00000001
item00000738	box00000019	pallete00000001
item00000739	box00000019	pallete00000001
item00000740	box00000019	pallete00000001
item00000741	box00000019	pallete00000001
item00000742	box00000019	pallete00000001
item00000743	box00000019	pallete00000001
item00000744	box00000019	pallete00000001
item00000745	box00000019	pallete00000001
item00000746	box00000019	pallete00000001
item00000747	box00000019	pallete00000001
item00000748	box00000019	pallete00000001
item00000749	box00000019	pallete00000001
item00000750	box00000019	pallete00000001
item00000751	box00000019	pallete00000001
item00000752	box00000019	pallete00000001
item00000753	box00000019	pallete00000001
item00000754	box00000019	pallete00000001
item00000755	box00000019	pallete00000001
item00000756	box00000019	pallete00000001
item00000757	box00000019	pallete00000001
item00000758	box00000019	pallete00000001
item00000759	box00000019	pallete00000001
item00000760	box00000019	pallete00000001
item00000761	box00000020	pallete00000001
item00000762	box00000020	pallete00000001
item00000763	box00000020	pallete00000001
item00000764	box00000020	pallete00000001
item00000765	box00000020	pallete00000001
item00000766	box00000020	pallete00000001
item00000767	box00000020	pallete00000001
item00000768	box00000020	pallete00000001
item00000769	box00000020	pallete00000001
item00000770	box00000020	pallete00000001
item00000771	box00000020	pallete00000001
item00000772	box00000020	pallete00000001
item00000773	box00000020	pallete00000001
item00000774	box00000020	pallete00000001
item00000775	box00000020	pallete00000001
item00000776	box00000020	pallete00000001
item00000777	box00000020	pallete00000001
item00000778	box00000020	pallete00000001
item00000779	box00000020	pallete00000001
item00000780	box00000020	pallete00000001
item00000781	box00000020	pallete00000001
item00000782	box00000020	pallete00000001
item00000783	box00000020	pallete00000001
item00000784	box00000020	pallete00000001
item00000785	box00000020	pallete00000001
item00000786	box00000020	pallete00000001
item00000787	box00000020	pallete00000001
item00000788	box00000020	pallete00000001
item00000789	box00000020	pallete00000001
item00000790	box00000020	pallete00000001
item00000791	box00000020	pallete00000001
item00000792	box00000020	pallete00000001
item00000793	box00000020	pallete00000001
item00000794	box00000020	pallete00000001
item00000795	box00000020	pallete00000001
item00000796	box00000020	pallete00000001
item00000797	box00000020	pallete00000001
item00000798	box00000020	pallete00000001
item00000799	box00000020	pallete00000001
item00000800	box00000020	pallete00000001
item00000801	box00000021	pallete00000002
item00000802	box00000021	pallete00000002
item00000803	box00000021	pallete00000002
item00000804	box00000021	pallete00000002
item00000805	box00000021	pallete00000002
item00000806	box00000021	pallete00000002
item00000807	box00000021	pallete00000002
item00000808	box00000021	pallete00000002
item00000809	box00000021	pallete00000002
item00000810	box00000021	pallete00000002
item00000811	box00000021	pallete00000002
item00000812	box00000021	pallete00000002
item00000813	box00000021	pallete00000002
item00000814	box00000021	pallete00000002
item00000815	box00000021	pallete00000002
item00000816	box00000021	pallete00000002
item00000817	box00000021	pallete00000002
item00000818	box00000021	pallete00000002
item00000819	box00000021	pallete00000002
item00000820	box00000021	pallete00000002
item00000821	box00000021	pallete00000002
item00000822	box00000021	pallete00000002
